Station End (IFS),Callsign,Region,Latitude,Longitude,Plan
CE11- Ennis,CE11,MRCC,52.84939,-8.97492,2
CE12- Shannon,CE12,MRCC,52.70138,-8.88083,2
CE13- Ennistymon,CE13,MRCC,52.93905,-9.29478,2
CE14- Scarriff,CE14,MRCC,52.91288,-8.52811,2
CE15- Killaloe,CE15,MRCC,52.80731,-8.4455,2
CE16- Kilrush,CE16,MRCC,52.63706,-9.48128,2
CE17- Kilkee,CE17,MRCC,52.6809,-9.64292,2
CK21- Mallow,CK21,MRCC,52.14134,-8.6549,1
CK22- Millstreet,CK22,MRCC,52.05794,-9.05987,1
CK23- Kanturk,CK23,MRCC,52.17622026,-8.91336414,1
CK24- Charleville,CK24,MRCC,52.35694,-8.68146,1
CK25- Fermoy,CK25,MRCC,52.13736,-8.27501,1
CK26- Mitchelstown,CK26,MRCC,52.26489,-8.27209,1
CK31- Bandon,CK31,MRCC,51.74411,-8.73335,1
CK32- Macroom,CK32,MRCC,51.90691406,-8.974398897,1
CK34- Kinsale,CK34,MRCC,51.70741,-8.52208,1
CK35- Carrigaline,CK35,MRCC,51.8123,-8.38949,1
CK36- Crosshaven,CK36,MRCC,51.80339,-8.30214,1
CK41- Midleton,CK41,MRCC,51.91738,-8.176,1
CK42- Cobh,CK42,MRCC,51.85227,-8.29429,1
CK43- Youghal,CK43,MRCC,51.95239,-7.84517,1
CK51- Bantry,CK51,MRCC,51.68126,-9.45409,1
CK52- Castletownbere,CK52,MRCC,51.65137,-9.90958,1
CK53- Schull,CK53,MRCC,51.52748,-9.55104,1
CK54- Skibbereen,CK54,MRCC,51.54815,-9.26748,1
CK55- Dunmanway,CK55,MRCC,51.71735,-9.11412,1
CK56- Clonakilty,CK56,MRCC,51.61890981,-8.903284577,1
CN11- Cavan,CN11,ERCC,53.99337,-7.36933,1
CN12- Cootehill,CN12,ERCC,54.07422,-7.07454,1
CN13- Kingscourt,CN13,ERCC,53.90022,-6.80479,1
CN14- Baileborough,CN14,ERCC,53.91763,-6.97308,1
CN15- Virginia,CN15,ERCC,53.83608,-7.08492,1
CN16- Ballyjamesduff,CN16,ERCC,53.86429,-7.20622,1
CN17- Ballyconnell,CN17,ERCC,54.11939,-7.57926,1
CN18- Belturbet,CN18,ERCC,54.10154,-7.44185,1
CN19- Killeshandra,CN19,ERCC,54.00906,-7.53788,1
CN21- Dowra,CN21,ERCC,54.1904,-8.01567,1
CO11- Anglesea Street,CO11,MRCC,51.89607,-8.46537,1
CO12- Ballyvolane,CO12,MRCC,51.91649,-8.46176,1
CO13- Ballincollig,CO13,MRCC,51.88547,-8.58042,1
CW11- Carlow,CW11,ERCC,52.83698,-6.92212,1
CW12- Bagenalstown,CW12,ERCC,52.70168,-6.9595,1
CW13- Tullow,CW13,ERCC,52.80402,-6.73093,1
CW14- Hacketstown,CW14,ERCC,52.86309,-6.55503,1
DL11- Letterkenny,DL11,WRCC,54.95752,-7.73289,1
DL12- Buncrana,DL12,WRCC,55.12447,-7.4555,1
DL13- Carndonagh,DL13,WRCC,55.25371,-7.26323,1
DL14- Moville,DL14,WRCC,55.18885,-7.04312,1
DL15- Stranorlar,DL15,WRCC,54.80363,-7.77128,1
DL16- Donegal,DL16,WRCC,54.6591,-8.08891,1
DL17- Ballyshannun,DL17,WRCC,54.50118,-8.18808,1
DL18- Bundoran,DL18,WRCC,54.48117,-8.26699,1
DL19- Killybegs,DL19,WRCC,54.62983,-8.44699,1
DL21- Glenties,DL21,WRCC,54.79714,-8.28409,1
DL22- Dungloe,DL22,WRCC,54.95413,-8.36027,1
DL23- Gweedore,DL23,WRCC,55.06755,-8.29066,1
DL24- Falcarragh,DL24,WRCC,55.13338,-8.10147,1
DL25- Milford,DL25,WRCC,55.09191,-7.69973,1
DL26- Glencolmcille,DL26,WRCC,54.70867,-8.73106,1
DL27- Arranmore,DL27,WRCC,54.97864,-8.50581,1
DN11- Donnybrook,DN11,ERCC,53.32191,-6.23748,1
DN12- Dolphins Barn,DN12,ERCC,53.33142,-6.29267,1
DN13- Phibsborough,DN13,ERCC,53.35769,-6.27411,1
DN14- North Strand,DN14,ERCC,53.35981,-6.23934,1
DN15- Finglas,DN15,ERCC,53.39015,-6.30343,1
DN16- Kilbarrack,DN16,ERCC,53.39072,-6.16817,1
DN17- Tallaght,DN17,ERCC,53.30739,-6.38309,1
DN18- Rathfarnham,DN18,ERCC,53.29181,-6.26451,1
DN19- Blanchardstown,DN19,ERCC,53.38464,-6.39592,1
DN21- Tara Street,DN21,ERCC,53.34548,-6.25415,1
DN22- Dun Laoghaire,DN22,ERCC,53.28168,-6.15146,1
DN23- Balbriggan,DN23,ERCC,53.61039,-6.18618,1
DN24- Skerries,DN24,ERCC,53.58128,-6.10871,1
DN25- Swords,DN25,ERCC,53.46359,-6.2206,1
GY11- Galway City,GY11,WRCC,53.26907,-9.05701,1
GY12- Athenry,GY12,WRCC,53.29755,-8.74895,1
GY13- Ballinasloe,GY13,WRCC,53.3309,-8.22615,1
GY14- Clifden,GY14,WRCC,53.48924,-10.01717,1
GY15- Gort,GY15,WRCC,53.06834,-8.82153,1
GY16- Loughrea,GY16,WRCC,53.1978,-8.56995,1
GY17- Mountbellew,GY17,WRCC,53.46889,-8.49801,1
GY18- Portumna,GY18,WRCC,53.09029,-8.22175,1
GY19- Tuam,GY19,WRCC,53.52648,-8.85026,1
GY21- Inis Mor,GY21,WRCC,53.12167,-9.66979,1
GY22- Carraroe,GY22,WRCC,53.2595,-9.60412,1
KE11- Newbridge,KE11,ERCC,53.17544,-6.79698,1
KE12- Naas,KE12,ERCC,53.21445,-6.66371,1
KE13- Athy,KE13,ERCC,52.99231,-6.98004,1
